Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV-Score
Random Forest,1.0,1.0,1.0,1.0,1.0,0.9987
XGBoost,1.0,1.0,1.0,1.0,1.0,0.9964
SVM,0.9951,1.0,0.9905,0.9952,0.9997,0.9935
Stacking Ensemble,0.9659,0.9623,0.9714,0.9668,0.996,-
Logistic Regression,0.8341,0.7886,0.9238,0.8509,0.9383,0.9245
