Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV-Score
Stacking Ensemble,0.7532,0.629,0.7222,0.6724,0.8356,-
Random Forest,0.7468,0.6271,0.6852,0.6549,0.8335,0.896
Logistic Regression,0.7078,0.5652,0.7222,0.6341,0.8176,0.8465
XGBoost,0.7338,0.6102,0.6667,0.6372,0.8141,0.8978
SVM,0.7273,0.5968,0.6852,0.6379,0.7993,0.8692
